Application ID,No Changes?,Feb Direct (AF),Feb Storage (AF),Comments
A000018,FALSE,0,0,"All water rights under enhanced reporting - A000018 (28034,28035,28036), A001554(23312),
A001624(37427), A030838(45944), S007367(4736) - use the same point of diversion. Next to
the water right ID's, in parenthesis, are the associated point of diversion ID's. They are different
ID's but the physical location of the point of diversion is the same for all.

Water use within this place of use may also occur under the following application numbers
A012125, A023005, A008688, S007368, S007367, A000018 and A001554, A001624, A030838.
For the purposes of enhanced reporting water diverted by GCID will be reported only under
Statement A030838. All other water right ID's listed above will report 0 diversions as to not
""double-count"" Diversions.

The data submitted above is provisional and based on the best information available at the time
they are submitted. These values may be updated/revised in the future reports, including annual
water right reports, based upon further analysis and review of the data. Diversions during
November 2022- March 2023 were limited based on GCID's Sacramento river settlement contract.
"
A000023,TRUE,0,0,
A000027,TRUE,0,0,Outside the season of use for this license. 
A000077A,TRUE,0,0,
A000138,TRUE,299,0,
A000234,FALSE,50000,30000,Proposed projections are between reported averages and maximums for the month of February.  
A000244,TRUE,0,0,
A000462,TRUE,0,0,
A000476,FALSE,300,1700,"Our projected production is 300 acre-feet, if possible we use direct diversion first and then use our storage. Our current storage is approximately 1700 acre-feet below full, so that is the maximum projected diversion to storage. This is for point of diversion 40756(O22155)

Point of diversion 40757 is to remain at 0 for both demands."
A000480,TRUE,0,0,
A000534,TRUE,0,0,
A000575,TRUE,0,0,
A000576,TRUE,430,0,
A000577,TRUE,0,0,
A000581,TRUE,0,0,
A000640,TRUE,0,0,
A000654,FALSE,0,146,5-year average more representative of anticipated diversions.
A000742,TRUE,0,0,
A000763,TRUE,0,0,
A000770,TRUE,0,0,
A000771,TRUE,0,0,"I have a different water right that I am using for this location of diversion, and I am currently not diverting under this appropriative water right. I am diverting water under a riparian water right S024493 within the same place of use."
A000829,TRUE,0,0,
A000878,TRUE,0,0,
A000879,TRUE,0,0,
A000880A,TRUE,0,0,
A000892,TRUE,0,0,
A001056,TRUE,0,0,
A001074B,TRUE,0,0,
A001081,TRUE,0,0,"Oakdale and South San Joaquin Irrigation District project that diversions under this right will be zero for the upcoming month. Although this number is consistent with the State Water Resources Control Board’s projection of zero, the methods and assumptions used by Oakdale and South San Joaquin Irrigation District to arrive at this projection differ from the methods and assumptions that appear to have been used by the Board."
A001150,TRUE,0,0,
A001160,TRUE,0,0,
A001177,TRUE,0,0,
A001195,TRUE,0,0,
A001199B,TRUE,0,0,
A001203,TRUE,0,0,
A001221,FALSE,0,0,This water right is for direct diversion for non-consumptive purposes only.
A001222,FALSE,0,0,This water right is for direct diversion for non-consumptive purposes only.
A001224,FALSE,0,0,
A001232,FALSE,0,0,
A001233,FALSE,0,2000,
A001270,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A001321,TRUE,0,325.263,
A001339,TRUE,0,0,
A001341,FALSE,0,0,SCE's water management plan projects that all inflows are released (not stored) and additional water from storage is also released. 
A001342,FALSE,0,0,SCE's water management plan projects that all inflows are released (not stored). 
A001343,FALSE,0,0,SCE water management plan projects that additional water will be stored in Florence greater than the 2018 reported inflows.
A001344,TRUE,0,0,
A001345,TRUE,0,0,
A001346,FALSE,0,19800,SCE water management plan projects that additional water will be stored in Shaver greater than the 2018 reported inflows.
A001413,TRUE,0,0,
A001440,TRUE,0,0,
A001441,FALSE,0,322,5-year average more representative pf anticipated diversions. 
A001463,TRUE,0,0,
A001465,TRUE,0,0,
A001532,FALSE,0,0,
A001554,FALSE,0,0,"All water rights under enhanced reporting - A000018 (28034,28035,28036), A001554(23312),
A001624(37427), A030838(45944), S007367(4736) - use the same point of diversion. Next to
the water right ID's, in parenthesis, are the associated point of diversion ID's. They are different
ID's but the physical location of the point of diversion is the same for all.

Water use within this place of use may also occur under the following application numbers
A012125, A023005, A008688, S007368, S007367, A000018 and A001554, A001624, A030838.
For the purposes of enhanced reporting water diverted by GCID will be reported only under
Statement A030838. All other water right ID's listed above will report 0 diversions as to not
""double-count"" Diversions.

The data submitted above is provisional and based on the best information available at the time
they are submitted. These values may be updated/revised in the future reports, including annual
water right reports, based upon further analysis and review of the data. Diversions during
November 2022- March 2023 were limited based on GCID's Sacramento river settlement contract.
"
A001588,TRUE,0,0,
A001589,TRUE,0,0,
A001614,TRUE,0,593,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A001615,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A001624,FALSE,0,0,"All water rights under enhanced reporting - A000018 (28034,28035,28036), A001554(23312),
A001624(37427), A030838(45944), S007367(4736) - use the same point of diversion. Next to
the water right ID's, in parenthesis, are the associated point of diversion ID's. They are different
ID's but the physical location of the point of diversion is the same for all.

Water use within this place of use may also occur under the following application numbers
A012125, A023005, A008688, S007368, S007367, A000018 and A001554, A001624, A030838.
For the purposes of enhanced reporting water diverted by GCID will be reported only under
Statement A030838. All other water right ID's listed above will report 0 diversions as to not
""double-count"" Diversions.

The data submitted above is provisional and based on the best information available at the time
they are submitted. These values may be updated/revised in the future reports, including annual
water right reports, based upon further analysis and review of the data. Diversions during
November 2022- March 2023 were limited based on GCID's Sacramento river settlement contract."
A001651,TRUE,0,300,
A001659,TRUE,0,0,
A001692,FALSE,0,40,5-year average more representative of anticipated diversions. 
A001699,TRUE,0,0,
A001725,TRUE,0,0,
A001739,FALSE,0,0,
A001743,TRUE,401,0,
A001885,TRUE,21,0,Diversion season March to October.
A001891,TRUE,0,0,
A001892,TRUE,0,0,
A002100,TRUE,0,2279,
A002142,TRUE,0,0,
A002186,TRUE,0,963,
A002195,TRUE,0,0,
A002197,FALSE,0,0,
A002212,FALSE,0,5000,Storage projection is between historical reported average and maximum for month of February.
A002227,TRUE,0,300,
A002270,FALSE,0,1653,5-year average more representative of anticipated diversions. 
A002275,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002276,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002372,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002522,TRUE,0,0,
A002524,TRUE,0,1530,"Oakdale and South San Joaquin Irrigation District project that diversions under this right will be zero for the upcoming month. Although this number is consistent with the State Water Resources Control Board’s projection of zero, the methods and assumptions used by Oakdale and South San Joaquin Irrigation District to arrive at this projection differ from the methods and assumptions that appear to have been used by the Board."
A002534,TRUE,0,0,
A002548,TRUE,0,0,
A002652A,TRUE,0,274,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002652B,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A002750,TRUE,0,0,
A002751,TRUE,0,0,
A002753,TRUE,0,0,
A002754,TRUE,0,0,
A002755,FALSE,0,500,"Water is diverted from Philbrook Creek to storage in Philbrook Reservoir for hydroelectric power generation, reservoir recreation, and fish and wildlife protection under appropriative water right A002755."
A002778,TRUE,0,0,
A002816,TRUE,0,0,
A002881,TRUE,0,0,
A002948,TRUE,0,0,Outside of season of use
A002950,FALSE,0.1,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A002951,TRUE,0,0,Outside of season of use
A002952,TRUE,0,0,Outside of season of use
A002953,FALSE,0.1,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A002954,TRUE,0,0,Outside of season of use
A002957,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A002958,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A002978,FALSE,0,0,
A002979,TRUE,0,0,
A002996,TRUE,0,0,
A003026,TRUE,0,0,
A003040,FALSE,0,0,
A003091,TRUE,0,0,"Oakdale and South San Joaquin Irrigation District project that diversions under this right will be zero for the upcoming month. Although this number is consistent with the State Water Resources Control Board’s projection of zero, the methods and assumptions used by Oakdale and South San Joaquin Irrigation District to arrive at this projection differ from the methods and assumptions that appear to have been used by the Board."
A003139,FALSE,0,0,
A003206,TRUE,0,0,
A003550,TRUE,0,1176,
A003613,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A003648,FALSE,0,0,
A003768,TRUE,0,0,
A003769,TRUE,0,0,
A003889,TRUE,0,0,
A003914,TRUE,0,0,
A003990,TRUE,0,0,No diversions scheduled.  
A004000,TRUE,0,0,
A004123,TRUE,0,0,
A004124,FALSE,0,0,
A004228,FALSE,2100,0,"(1) Reported figures are based on: projected diversion and storage of flow into Pardee based on projected median hydrology (50% exceedance forecast), estimated demand, and operational assumptions. Actual diversion and storage may vary from reported projection if actual conditions differ substantially from median hydrology, the demand estimate, and operational assumptions. (2) Demand projection assumes 10% mandatory conservation by EBMUD’s customers. (3) February 2023 projected diversion demand is also below seasonal norm because planned aqueduct outage for maintenance work is expected to reduce conveyance capacity.
"
A004237,TRUE,300.65,0,
A004275,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A004276,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A004309,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A004310,TRUE,0,0,"The data submitted above is provisional and based on the best information available at the time they are submitted. These values may be updated/revised in the future reports, including annual water right reports, based upon further review of the data.																					
"
A004432,FALSE,0,0,"This license is supplemental to the riparian, pre-1914 appropriative and other water related rights and/or claims associated with the lands within the place of use of this license.  Estimated and/or measured water diversion amounts under those other water related rights for the instant reporting year will be reported in the annual Supplemental Statement of Water Diversion and Use for that year for the Statement Number(s) that has(have) been assigned to the point(s) of diversion that provide(s) water to the place of use of this license under those other rights and/or claims. 

To avoid duplicative reporting of diversion amounts for the place of use of this license under this license report and that(those) Statement Number report(s), the number “0.1” is reported for the amounts directly diverted and/or projected to be directly diverted as a placeholder in this report. 

The actual estimated and/or measured diversion amounts that were made under this license during the months authorized under this license, and during times when this license is not curtailed, will be the diversion amounts reported for those months in said Statement Number report(s) for the instant reporting year, and capped, if necessary, by the maximum monthly diversion amounts allowable under this license to the extent any of the monthly diversion amounts in said Statement Number report(s) exceed those maximum amounts.

This reporting methodology is adopted voluntarily to eliminate duplicative reporting consistent with the Delta Watermaster’s “Consensus Strategy for Avoiding Duplicative Reporting of Water Diversion and Use in the Delta,” dated February 1, 2021.  The use of this reporting methodology does not commit the owner to use this methodology in the future, nor does it waive or impair any of the owner’s rights to divert and use water pursuant to this license or pursuant to any other water related rights. 
"
A004441,TRUE,0,20,
